layout,model,tp,pp,label,layer_split,ffn_splits,workload,n_req,in_len,out_len,tps,itl_ms,ttft_ms
1+1,8b,2,1,TP2PP1_uniform,32,7168:7168,balanced,16,512,256,973.4,14.8,396.1
1+1,8b,2,1,TP2PP1_ffn_bias+50,32,10752:3584,balanced,16,512,256,936.6,14.6,646.1
1+1,8b,1,2,TP1PP2_skew+8,24-8,14336,balanced,16,512,256,799.5,17.1,799.3
1+1,8b,1,2,TP1PP2_uniform,16-16,14336,balanced,16,512,256,697.8,20.0,819.9
1+1,8b,2,1,TP2PP1_ffn_bias+50,32,10752:3584,balanced,32,512,256,1595.7,19.0,180.3
1+1,8b,1,2,TP1PP2_uniform,16-16,14336,balanced,32,512,256,1543.0,20.7,63.2
1+1,8b,1,2,TP1PP2_skew+8,24-8,14336,balanced,32,512,256,1512.1,21.1,55.2
1+1,8b,2,1,TP2PP1_uniform,32,7168:7168,balanced,32,512,256,1506.0,20.2,283.7
1+1,8b,1,2,TP1PP2_skew+8,24-8,14336,balanced,64,512,256,3059.9,20.5,122.7
1+1,8b,1,2,TP1PP2_uniform,16-16,14336,balanced,64,512,256,2754.8,22.7,111.8
1+1,8b,2,1,TP2PP1_uniform,32,7168:7168,balanced,64,512,256,2167.3,28.9,109.3
1+1,8b,2,1,TP2PP1_ffn_bias+50,32,10752:3584,balanced,64,512,256,2070.1,28.8,437.2
1+1,8b,1,2,TP1PP2_skew+8,24-8,14336,balanced,96,512,256,4475.5,20.5,187.6
1+1,8b,1,2,TP1PP2_uniform,16-16,14336,balanced,96,512,256,4084.8,22.8,97.4
1+1,8b,2,1,TP2PP1_uniform,32,7168:7168,balanced,96,512,256,2320.2,39.9,117.8
1+1,8b,2,1,TP2PP1_ffn_bias+50,32,10752:3584,balanced,96,512,256,2229.1,39.2,657.5
1+1,mixtral8x7b,1,2,TP1PP2_skew+8,24-8,14336,balanced,16,512,256,345.8,41.3,1280.9
1+1,mixtral8x7b,1,2,TP1PP2_skew+8,24-8,14336,balanced,32,512,256,490.8,64.4,183.1
1+1,mixtral8x7b,1,2,TP1PP2_skew+8,24-8,14336,balanced,64,512,256,1313.2,47.8,193.6
1+1,mixtral8x7b,1,2,TP1PP2_skew+8,24-8,14336,balanced,96,512,256,1434.0,65.7,248.1
1+1,opt30b,2,1,TP2PP1_ffn_bias+50,48,21504:7168,balanced,16,512,256,304.2,50.4,552.4
1+1,opt30b,2,1,TP2PP1_uniform,48,14336:14336,balanced,16,512,256,302.0,50.6,631.2
1+1,opt30b,1,2,TP1PP2_skew+8,32-16,28672,balanced,16,512,256,240.5,63.2,891.0
1+1,opt30b,1,2,TP1PP2_uniform,24-24,28672,balanced,16,512,256,201.7,75.8,956.0
1+1,opt30b,1,2,TP1PP2_skew+8,32-16,28672,balanced,32,512,256,491.8,64.6,157.4
1+1,opt30b,2,1,TP2PP1_ffn_bias+50,48,21504:7168,balanced,32,512,256,478.0,65.7,311.1
1+1,opt30b,2,1,TP2PP1_uniform,48,14336:14336,balanced,32,512,256,474.8,66.1,287.2
1+1,opt30b,1,2,TP1PP2_uniform,24-24,28672,balanced,32,512,256,413.5,76.9,161.5
1+1,opt30b,2,1,TP2PP1_ffn_bias+50,48,21504:7168,balanced,64,512,256,1041.4,59.0,476.2
1+1,opt30b,2,1,TP2PP1_uniform,48,14336:14336,balanced,64,512,256,1021.1,59.6,404.9
1+1,opt30b,1,2,TP1PP2_skew+8,32-16,28672,balanced,64,512,256,880.3,71.8,198.5
1+1,opt30b,1,2,TP1PP2_uniform,24-24,28672,balanced,64,512,256,744.2,85.2,226.9
1+1,opt30b,1,2,TP1PP2_skew+8,32-16,28672,balanced,96,512,256,1274.2,74.3,248.1
1+1,opt30b,2,1,TP2PP1_ffn_bias+50,48,21504:7168,balanced,96,512,256,1050.3,72.2,555.0
1+1,opt30b,2,1,TP2PP1_uniform,48,14336:14336,balanced,96,512,256,1036.3,72.3,525.4
1+1,opt30b,1,2,TP1PP2_uniform,24-24,28672,balanced,96,512,256,797.6,96.4,239.4
2+2,70b,4,1,TP4PP1_uniform,80,7168:7168:7168:7168,balanced,16,512,256,230.1,65.8,970.3
2+2,70b,4,1,TP4PP1_ffn_bias+50,80,10752:10752:3584:3584,balanced,16,512,256,223.3,64.4,1875.8
2+2,70b,2,2,TP2PP2_skew+8,48-32,14336:14336,balanced,16,512,256,199.2,76.5,1016.5
2+2,70b,2,2,TP2PP2_uniform,40-40,14336:14336,balanced,16,512,256,168.5,91.1,1029.0
2+2,70b,1,4,TP1PP4_skew+8,28-28-12-12,28672,balanced,16,512,256,110.2,133.1,3182.8
