layout,model,n_req,baseline_tps,planner_pick,planner_pick_tps,oracle_config,oracle_tps,uplift_vs_baseline_pct,regret_vs_oracle_pct
4+4,8b,64,1537.9,TP4PP2_L21-11,2077.2,TP4PP2_uniform,2178.5,35.1,4.6
4+4,8b,96,1659.0,TP4PP2_L21-11,3736.1,TP4PP2_skew+8,3736.1,125.2,0.0
4+4,opt30b,64,622.1,TP4PP2_L32-16,1071.2,TP4PP2_skew+12,1154.1,72.2,7.2
4+4,opt30b,96,648.9,TP4PP2_L32-16,1706.4,TP4PP2_skew+8,1706.4,163.0,0.0
4+4,70b,64,351.1,TP4PP2_L53-27,667.5,TP4PP2_skew+8,677.1,90.1,1.4
4+4,70b,96,366.9,TP4PP2_L54-26,989.9,TP4PP2_skew+8,1000.2,169.8,1.0
2+2,8b,64,1639.7,TP2PP2_L22-10,1559.9,TP2PP2_skew+12,1822.5,-4.9,14.4
2+2,8b,96,1927.7,TP2PP2_L22-10,3420.6,TP2PP2_skew+8,3420.6,77.4,0.0
2+2,opt30b,64,565.4,TP2PP2_L32-16,875.5,TP2PP2_skew+8,875.5,54.8,0.0
2+2,opt30b,96,774.2,TP2PP2_L32-16,1248.0,TP2PP2_skew+8,1248.0,61.2,0.0
2+2,70b,64,352.1,TP2PP2_L54-26,493.5,TP2PP2_skew+12,493.5,40.2,0.0
2+2,70b,96,456.1,TP2PP2_L54-26,714.0,TP2PP2_skew+12,714.0,56.5,0.0
