model,label,tp,pp,layer_split,workload,in_len,out_len,n_req,tps,runtime_s,ttft_ms,success
Llama-3.3-70B,TP2PP4_layer_blackbias_22-22-18-18,2,4,22-22-18-18,balanced,512,256,128,1053.2,31.11,5296.5,True
Llama-3.3-70B,TP2PP4_layer_blackbias_22-22-18-18,2,4,22-22-18-18,decode_heavy,128,512,128,1211.3,54.10,1423.6,True
Llama-3.3-70B,TP2PP4_layer_blackbias_22-22-18-18,2,4,22-22-18-18,prefill_heavy,1024,128,128,857.9,19.10,3377.5,True
Llama-3.3-70B,TP2PP4_layer_blackbias_24-24-16-16,2,4,24-24-16-16,balanced,512,256,128,1007.5,32.52,7121.8,True
Llama-3.3-70B,TP2PP4_layer_blackbias_24-24-16-16,2,4,24-24-16-16,decode_heavy,128,512,128,1247.8,52.52,1704.1,True
Llama-3.3-70B,TP2PP4_layer_blackbias_24-24-16-16,2,4,24-24-16-16,prefill_heavy,1024,128,128,1108.1,14.79,2014.6,True
Llama-3.3-70B,TP2PP4_layer_uniform_20-20-20-20,2,4,20-20-20-20,balanced,512,256,128,1028.5,31.86,5411.3,True
Llama-3.3-70B,TP2PP4_layer_uniform_20-20-20-20,2,4,20-20-20-20,decode_heavy,128,512,128,1199.4,54.64,1875.6,True
Llama-3.3-70B,TP2PP4_layer_uniform_20-20-20-20,2,4,20-20-20-20,prefill_heavy,1024,128,128,1033.7,15.85,2373.7,True
Llama-3.3-70B,TP4PP2_layer_skew+12_52-28,4,2,52-28,balanced,512,256,128,1372.1,23.88,4011.7,True
Llama-3.3-70B,TP4PP2_layer_skew+12_52-28,4,2,52-28,decode_heavy,128,512,128,1624.1,40.35,961.6,True
Llama-3.3-70B,TP4PP2_layer_skew+12_52-28,4,2,52-28,prefill_heavy,1024,128,128,1441.5,11.37,1267.9,True
Llama-3.3-70B,TP4PP2_layer_skew+16_56-24,4,2,56-24,balanced,512,256,128,1469.7,22.30,2720.8,True
Llama-3.3-70B,TP4PP2_layer_skew+16_56-24,4,2,56-24,decode_heavy,128,512,128,1654.9,39.60,697.3,True
Llama-3.3-70B,TP4PP2_layer_skew+16_56-24,4,2,56-24,prefill_heavy,1024,128,128,1430.3,11.45,1304.5,True
Llama-3.3-70B,TP4PP2_layer_skew+4_44-36,4,2,44-36,balanced,512,256,128,1544.2,21.22,834.2,True
Llama-3.3-70B,TP4PP2_layer_skew+4_44-36,4,2,44-36,decode_heavy,128,512,128,1573.8,41.64,923.4,True
Llama-3.3-70B,TP4PP2_layer_skew+4_44-36,4,2,44-36,prefill_heavy,1024,128,128,1386.8,11.81,1236.8,True
Llama-3.3-70B,TP4PP2_layer_skew+8_48-32,4,2,48-32,balanced,512,256,128,1424.7,23.00,2969.0,True
Llama-3.3-70B,TP4PP2_layer_skew+8_48-32,4,2,48-32,decode_heavy,128,512,128,1599.8,40.97,886.6,True
Llama-3.3-70B,TP4PP2_layer_skew+8_48-32,4,2,48-32,prefill_heavy,1024,128,128,1409.3,11.63,1204.9,True
Llama-3.3-70B,TP4PP2_layer_uniform_40-40,4,2,40-40,balanced,512,256,128,1512.9,21.66,868.9,True
Llama-3.3-70B,TP4PP2_layer_uniform_40-40,4,2,40-40,decode_heavy,128,512,128,1542.8,42.48,1114.3,True
Llama-3.3-70B,TP4PP2_layer_uniform_40-40,4,2,40-40,prefill_heavy,1024,128,128,1384.4,11.83,1386.7,True
Llama-3.3-70B,TP8PP1_uniform,8,1,80,balanced,512,256,128,1509.8,21.70,536.5,True
Llama-3.3-70B,TP8PP1_uniform,8,1,80,decode_heavy,128,512,128,1256.1,52.17,775.0,True
Llama-3.3-70B,TP8PP1_uniform,8,1,80,prefill_heavy,1024,128,128,1293.5,12.67,1299.2,True
